age_group,sex,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
0-15,F,1167,1106,1109,1354,1825,2353,2875,3318,3370,3521,3387,2037,1681,1594,1439,1345,1638,1849,2037
16-19,F,61321,58251,57067,57370,58792,60461,63382,68247,74021,79550,85592,79295,70651,66606,64828,63524,60556,59048,59656
20-24,F,167583,168316,167183,165153,163522,161042,159090,158311,158392,160055,166701,172811,176754,180084,180657,178590,175295,169877,166021
25-34,F,385911,379373,379205,381040,385885,389632,394569,400625,404765,407067,409776,411716,410175,408345,407343,407943,409644,411328,415736
35-44,F,540585,536384,526899,515802,504049,491580,479606,467621,453917,441791,435118,432867,434830,438725,443866,450245,457349,464192,471794
45-54,F,455913,467223,479521,491760,503728,515191,525669,534725,542979,546523,547877,545788,537638,527577,515533,503909,492459,480433,468317
55-64,F,275787,292264,312492,331031,349047,365700,381522,396253,410335,424512,439228,451168,463375,475923,487467,499169,509350,518009,526818
65-74,F,151875,158302,164171,170192,177470,184514,193932,203747,216390,230069,243673,259308,277939,295118,311894,327264,341940,355874,369119
75-84,F,44752,49132,53792,58861,63668,68864,73620,78524,83692,87425,91877,96760,101161,106178,112258,118103,126199,134445,144467
85-89,F,2349,2776,3139,3667,4167,4828,5537,6348,7176,7772,8702,9768,10781,12089,13162,14360,15602,17230,18315
90-199,F,199,256,304,368,463,553,628,734,835,939,1122,1360,1551,1849,2076,2367,2768,3121,3544
Total,F,2087442,2113383,2144882,2176598,2212616,2244718,2280430,2318453,2355872,2389224,2433053,2462878,2486536,2514088,2540523,2566819,2592800,2615406,2645824
0-15,M,5769,5326,5731,6342,7723,9092,9845,10072,9588,9350,9333,6177,5240,4747,4249,4008,4214,4253,4493
16-19,M,80725,78338,76699,76532,76612,77539,81144,86685,92794,97659,101461,93080,82401,76535,73596,71230,67558,65210,65612
20-24,M,188068,189275,187618,184615,183448,178756,175501,172979,171782,172105,177324,183432,186182,188841,188551,186329,181988,176441,172461
25-34,M,417974,412844,412001,413540,419033,420707,423239,427184,428610,428610,429920,430419,427815,425389,422314,421984,422886,423802,429161
35-44,M,581107,577108,566363,554903,544900,531740,518660,505618,490827,475935,468166,465252,466441,469664,472435,477349,482786,487937,493874
45-54,M,501821,511988,522605,533429,544508,553152,563025,570967,578308,580987,581927,579358,570451,559722,547179,536660,524875,512374,501487
55-64,M,329426,344486,362727,379643,395760,411274,425494,439115,450766,463299,475947,486718,497596,508690,518382,527935,537829,545743,554305
65-74,M,213135,216391,219429,222862,228154,232501,239725,247296,257819,269126,282042,296583,314056,330045,345256,359853,373097,385880,397557
75-84,M,82917,87135,92049,96579,100881,105825,110804,116047,120894,124098,127560,131759,135456,139360,144869,149681,156567,163854,172928
85-89,M,7515,8022,8426,9116,9493,10418,11403,12909,14049,15087,16253,17652,18991,20599,21989,23608,25382,27230,28764
90-199,M,1098,1165,1285,1453,1582,1707,1906,2055,2264,2368,2637,3045,3595,4166,4607,5108,5666,6349,6876
Total,M,2409555,2432078,2454933,2479014,2512094,2532711,2560746,2590927,2617701,2638624,2672570,2693475,2708224,2727758,2743427,2763745,2782848,2799073,2827518
0-15,T,6936,6432,6840,7696,9548,11445,12720,13390,12958,12871,12720,8214,6921,6341,5688,5353,5852,6102,6530
16-19,T,142046,136589,133766,133902,135404,138000,144526,154932,166815,177209,187053,172375,153052,143141,138424,134754,128114,124258,125268
20-24,T,355651,357591,354801,349768,346970,339798,334591,331290,330174,332160,344025,356243,362936,368925,369208,364919,357283,346318,338482
25-34,T,803885,792217,791206,794580,804918,810339,817808,827809,833375,835677,839696,842135,837990,833734,829657,829927,832530,835130,844897
35-44,T,1121692,1113492,1093262,1070705,1048949,1023320,998266,973239,944744,917726,903284,898119,901271,908389,916301,927594,940135,952129,965668
45-54,T,957734,979211,1002126,1025189,1048236,1068343,1088694,1105692,1121287,1127510,1129804,1125146,1108089,1087299,1062712,1040569,1017334,992807,969804
55-64,T,605213,636750,675219,710674,744807,776974,807016,835368,861101,887811,915175,937886,960971,984613,1005849,1027104,1047179,1063752,1081123
65-74,T,365010,374693,383600,393054,405624,417015,433657,451043,474209,499195,525715,555891,591995,625163,657150,687117,715037,741754,766676
75-84,T,127669,136267,145841,155440,164549,174689,184424,194571,204586,211523,219437,228519,236617,245538,257127,267784,282766,298299,317395
85-89,T,9864,10798,11565,12783,13660,15246,16940,19257,21225,22859,24955,27420,29772,32688,35151,37968,40984,44460,47079
90-199,T,1297,1421,1589,1821,2045,2260,2534,2789,3099,3307,3759,4405,5146,6015,6683,7475,8434,9470,10420
Total,T,4496997,4545461,4599815,4655612,4724710,4777429,4841176,4909380,4973573,5027848,5105623,5156353,5194760,5241846,5283950,5330564,5375648,5414479,5473342
